Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
superadmin can add jobs,Chrome 70.0.3538.110,,2018-12-03 15:34:24,2018-12-03 15:35:20,55.166s,FAILED
,,,,,,
Test Cases/Final/Login - superadmin,Chrome 70.0.3538.110,,2018-12-03 15:34:25,2018-12-03 15:35:05,40.026s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-03 15:34:25,2018-12-03 15:34:28,3.076s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-12-03 15:34:28,2018-12-03 15:34:29,1.153s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-03 15:34:29,2018-12-03 15:34:46,16.852s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:34:46,2018-12-03 15:34:56,10.028s,PASSED
click,Chrome 70.0.3538.110,,2018-12-03 15:34:56,2018-12-03 15:34:56,0.136s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:34:56,2018-12-03 15:35:01,5.004s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 15:35:01,2018-12-03 15:35:01,0.180s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 15:35:01,2018-12-03 15:35:02,0.207s,PASSED
click,Chrome 70.0.3538.110,,2018-12-03 15:35:02,2018-12-03 15:35:05,3.075s,PASSED
,,,,,,
Test Cases/Final/nav_to_HS,Chrome 70.0.3538.110,,2018-12-03 15:35:05,2018-12-03 15:35:18,13.232s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-03 15:35:05,2018-12-03 15:35:18,13.014s,PASSED
,,,,,,
Test Cases/Final/add_jobs,Chrome 70.0.3538.110,,2018-12-03 15:35:18,2018-12-03 15:35:19,0.835s,FAILED
openBrowser,Chrome 70.0.3538.110,,2018-12-03 15:35:18,2018-12-03 15:35:18,0.005s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-03 15:35:18,2018-12-03 15:35:18,0.004s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-03 15:35:18,2018-12-03 15:35:18,0.002s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 15:35:18,2018-12-03 15:35:18,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-03 15:35:18,2018-12-03 15:35:18,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 15:35:18,2018-12-03 15:35:18,0.001s,NOT_RUN
setText,Chrome 70.0.3538.110,,2018-12-03 15:35:18,2018-12-03 15:35:18,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 15:35:18,2018-12-03 15:35:18,0.001s,NOT_RUN
setText,Chrome 70.0.3538.110,,2018-12-03 15:35:18,2018-12-03 15:35:18,0.004s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 15:35:18,2018-12-03 15:35:18,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-03 15:35:18,2018-12-03 15:35:19,0.538s,FAILED
