Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
advanced search,Chrome 70.0.3538.110,,2018-12-03 15:30:26,2018-12-03 15:32:56,2m - 30.126s,PASSED
,,,,,,
Test Cases/Final/search_with_specialty,Chrome 70.0.3538.110,,2018-12-03 15:30:26,2018-12-03 15:31:05,38.885s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-03 15:30:26,2018-12-03 15:30:29,2.805s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-12-03 15:30:29,2018-12-03 15:30:30,1.154s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-03 15:30:30,2018-12-03 15:30:43,12.686s,PASSED
click,Chrome 70.0.3538.110,,2018-12-03 15:30:43,2018-12-03 15:30:44,1.406s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:30:44,2018-12-03 15:30:47,3.018s,PASSED
click,Chrome 70.0.3538.110,,2018-12-03 15:30:47,2018-12-03 15:30:49,1.312s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:30:49,2018-12-03 15:30:52,3.004s,PASSED
click,Chrome 70.0.3538.110,,2018-12-03 15:30:52,2018-12-03 15:30:52,0.078s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:30:52,2018-12-03 15:30:55,3.002s,PASSED
check,Chrome 70.0.3538.110,,2018-12-03 15:30:55,2018-12-03 15:30:55,0.101s,PASSED
verifyElementChecked,Chrome 70.0.3538.110,,2018-12-03 15:30:55,2018-12-03 15:30:55,0.052s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:30:55,2018-12-03 15:31:05,10.002s,PASSED
verifyTextPresent,Chrome 70.0.3538.110,,2018-12-03 15:31:05,2018-12-03 15:31:05,0.001s,NOT_RUN
,,,,,,
Test Cases/Final/back to advanced search,Chrome 70.0.3538.110,,2018-12-03 15:31:05,2018-12-03 15:31:17,12.037s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-03 15:31:05,2018-12-03 15:31:10,5.409s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:31:10,2018-12-03 15:31:15,5.001s,PASSED
click,Chrome 70.0.3538.110,,2018-12-03 15:31:15,2018-12-03 15:31:17,1.517s,PASSED
,,,,,,
Test Cases/Final/search with kind of school,Chrome 70.0.3538.110,,2018-12-03 15:31:17,2018-12-03 15:31:33,16.363s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-03 15:31:17,2018-12-03 15:31:17,0.001s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-03 15:31:17,2018-12-03 15:31:17,0.001s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-03 15:31:17,2018-12-03 15:31:17,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-03 15:31:17,2018-12-03 15:31:17,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 15:31:17,2018-12-03 15:31:17,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-03 15:31:17,2018-12-03 15:31:17,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 15:31:17,2018-12-03 15:31:20,3.001s,PASSED
click,Chrome 70.0.3538.110,,2018-12-03 15:31:20,2018-12-03 15:31:20,0.074s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:31:20,2018-12-03 15:31:23,3.002s,PASSED
check,Chrome 70.0.3538.110,,2018-12-03 15:31:23,2018-12-03 15:31:23,0.100s,PASSED
verifyElementChecked,Chrome 70.0.3538.110,,2018-12-03 15:31:23,2018-12-03 15:31:23,0.042s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:31:23,2018-12-03 15:31:33,10.001s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:31:33,2018-12-03 15:31:33,0.001s,NOT_RUN
,,,,,,
Test Cases/Final/back to advanced search1,Chrome 70.0.3538.110,,2018-12-03 15:31:33,2018-12-03 15:31:42,8.483s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-03 15:31:33,2018-12-03 15:31:34,1.092s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:31:34,2018-12-03 15:31:39,5.003s,PASSED
click,Chrome 70.0.3538.110,,2018-12-03 15:31:39,2018-12-03 15:31:42,2.297s,PASSED
,,,,,,
Test Cases/Final/search with country,Chrome 70.0.3538.110,,2018-12-03 15:31:42,2018-12-03 15:31:48,6.308s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-03 15:31:42,2018-12-03 15:31:42,0.000s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-03 15:31:42,2018-12-03 15:31:42,0.001s,NOT_RUN
