Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
advanced search,Chrome 70.0.3538.110,,2018-12-04 15:22:09,2018-12-04 15:24:49,2m - 39.747s,ERROR
,,,,,,
Test Cases/Final/search_with_specialty,Chrome 70.0.3538.110,,2018-12-04 15:22:09,2018-12-04 15:22:48,39.053s,ERROR
openBrowser,Chrome 70.0.3538.110,,2018-12-04 15:22:10,2018-12-04 15:22:13,3.349s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-12-04 15:22:13,2018-12-04 15:22:14,1.143s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-04 15:22:14,2018-12-04 15:22:26,11.615s,PASSED
click,Chrome 70.0.3538.110,,2018-12-04 15:22:26,2018-12-04 15:22:27,1.769s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-04 15:22:27,2018-12-04 15:22:30,3.023s,PASSED
click,Chrome 70.0.3538.110,,2018-12-04 15:22:30,2018-12-04 15:22:32,1.558s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-04 15:22:32,2018-12-04 15:22:35,3.002s,PASSED
click,Chrome 70.0.3538.110,,2018-12-04 15:22:35,2018-12-04 15:22:35,0.081s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-04 15:22:35,2018-12-04 15:22:38,3.001s,PASSED
check,Chrome 70.0.3538.110,,2018-12-04 15:22:38,2018-12-04 15:22:38,0.107s,PASSED
verifyElementChecked,Chrome 70.0.3538.110,,2018-12-04 15:22:38,2018-12-04 15:22:38,0.047s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-04 15:22:38,2018-12-04 15:22:48,10.001s,PASSED
verifyTextPresent,Chrome 70.0.3538.110,,2018-12-04 15:22:48,2018-12-04 15:22:48,0.001s,PASSED
,,,,,,
Test Cases/Final/back to advanced search,Chrome 70.0.3538.110,,2018-12-04 15:22:48,2018-12-04 15:22:58,10.218s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-04 15:22:48,2018-12-04 15:22:52,3.639s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-04 15:22:52,2018-12-04 15:22:57,5.001s,PASSED
click,Chrome 70.0.3538.110,,2018-12-04 15:22:57,2018-12-04 15:22:58,1.467s,PASSED
,,,,,,
