Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
parent can join to school,Chrome 70.0.3538.110,,2018-12-03 15:11:59,2018-12-03 15:13:48,1m - 48.929s,ERROR
,,,,,,
Test Cases/Final/REG as parent,Chrome 70.0.3538.110,,2018-12-03 15:12:00,2018-12-03 15:12:36,35.794s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-03 15:12:00,2018-12-03 15:12:03,3.325s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-12-03 15:12:03,2018-12-03 15:12:05,1.165s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-03 15:12:05,2018-12-03 15:12:14,9.701s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:12:14,2018-12-03 15:12:19,5.027s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 15:12:19,2018-12-03 15:12:20,0.294s,PASSED
Statement - par_uname = org.apache.commons.lang.RandomStringUtils.randomAlphabetic(6),Chrome 70.0.3538.110,,2018-12-03 15:12:20,2018-12-03 15:12:20,0.001s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 15:12:20,2018-12-03 15:12:20,0.253s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 15:12:20,2018-12-03 15:12:20,0.364s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 15:12:20,2018-12-03 15:12:21,0.317s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 15:12:21,2018-12-03 15:12:21,0.264s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-03 15:12:21,2018-12-03 15:12:21,0.164s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:12:21,2018-12-03 15:12:24,3.002s,PASSED
selectOptionByIndex,Chrome 70.0.3538.110,,2018-12-03 15:12:24,2018-12-03 15:12:24,0.170s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:12:24,2018-12-03 15:12:27,3.001s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-03 15:12:27,2018-12-03 15:12:27,0.142s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:12:27,2018-12-03 15:12:32,5.002s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 15:12:32,2018-12-03 15:12:33,0.249s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 15:12:33,2018-12-03 15:12:33,0.334s,PASSED
uploadFile,Chrome 70.0.3538.110,,2018-12-03 15:12:33,2018-12-03 15:12:33,0.097s,PASSED
click,Chrome 70.0.3538.110,,2018-12-03 15:12:33,2018-12-03 15:12:36,2.578s,PASSED
,,,,,,
Test Cases/Final/nav_to_HS,Chrome 70.0.3538.110,,2018-12-03 15:12:36,2018-12-03 15:12:48,12.592s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-03 15:12:36,2018-12-03 15:12:48,12.475s,PASSED
,,,,,,
Test Cases/Final/logout,Chrome 70.0.3538.110,,2018-12-03 15:12:48,2018-12-03 15:12:55,6.905s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-03 15:12:48,2018-12-03 15:12:48,0.016s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-03 15:12:48,2018-12-03 15:12:48,0.000s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-03 15:12:48,2018-12-03 15:12:48,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 15:12:48,2018-12-03 15:12:48,0.003s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-03 15:12:48,2018-12-03 15:12:48,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 15:12:48,2018-12-03 15:12:48,0.001s,NOT_RUN
setText,Chrome 70.0.3538.110,,2018-12-03 15:12:48,2018-12-03 15:12:48,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 15:12:48,2018-12-03 15:12:48,0.000s,NOT_RUN
setText,Chrome 70.0.3538.110,,2018-12-03 15:12:48,2018-12-03 15:12:48,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 15:12:48,2018-12-03 15:12:48,0.000s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-03 15:12:48,2018-12-03 15:12:48,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 15:12:48,2018-12-03 15:12:48,0.000s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-03 15:12:48,2018-12-03 15:12:48,0.084s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:12:48,2018-12-03 15:12:53,5.002s,PASSED
click,Chrome 70.0.3538.110,,2018-12-03 15:12:53,2018-12-03 15:12:55,1.617s,PASSED
,,,,,,
Test Cases/Final/login as parent,Chrome 70.0.3538.110,,2018-12-03 15:12:55,2018-12-03 15:13:31,36.291s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-03 15:12:55,2018-12-03 15:12:58,2.836s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-12-03 15:12:58,2018-12-03 15:12:59,1.117s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-03 15:12:59,2018-12-03 15:13:09,9.810s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:13:09,2018-12-03 15:13:14,5.001s,PASSED
click,Chrome 70.0.3538.110,,2018-12-03 15:13:14,2018-12-03 15:13:14,0.088s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:13:14,2018-12-03 15:13:19,5.002s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 15:13:19,2018-12-03 15:13:19,0.132s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:13:19,2018-12-03 15:13:24,5.002s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 15:13:24,2018-12-03 15:13:24,0.135s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:13:24,2018-12-03 15:13:29,5.003s,PASSED
click,Chrome 70.0.3538.110,,2018-12-03 15:13:29,2018-12-03 15:13:31,1.983s,PASSED
,,,,,,
Test Cases/Final/JoinToSchoool,Chrome 70.0.3538.110,,2018-12-03 15:13:31,2018-12-03 15:13:48,16.218s,ERROR
openBrowser,Chrome 70.0.3538.110,,2018-12-03 15:13:32,2018-12-03 15:13:32,0.000s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-03 15:13:32,2018-12-03 15:13:32,0.000s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-03 15:13:32,2018-12-03 15:13:32,0.003s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 15:13:32,2018-12-03 15:13:32,0.003s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-03 15:13:32,2018-12-03 15:13:32,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 15:13:32,2018-12-03 15:13:32,0.001s,NOT_RUN
setText,Chrome 70.0.3538.110,,2018-12-03 15:13:32,2018-12-03 15:13:32,0.003s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 15:13:32,2018-12-03 15:13:32,0.002s,NOT_RUN
setText,Chrome 70.0.3538.110,,2018-12-03 15:13:32,2018-12-03 15:13:32,0.005s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 15:13:32,2018-12-03 15:13:32,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-03 15:13:32,2018-12-03 15:13:32,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 15:13:32,2018-12-03 15:13:32,0.000s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-03 15:13:32,2018-12-03 15:13:34,2.039s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:13:34,2018-12-03 15:13:37,3.002s,PASSED
click,Chrome 70.0.3538.110,,2018-12-03 15:13:37,2018-12-03 15:13:38,1.807s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:13:38,2018-12-03 15:13:41,3.002s,PASSED
click,Chrome 70.0.3538.110,,2018-12-03 15:13:41,2018-12-03 15:13:43,1.099s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 15:13:43,2018-12-03 15:13:48,5.002s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 15:13:48,2018-12-03 15:13:48,0.003s,PASSED
