Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
student can compare between schools,Chrome 70.0.3538.110,,2018-12-03 16:18:11,2018-12-03 16:19:26,1m - 14.730s,FAILED
,,,,,,
Test Cases/Final/REG as student,Chrome 70.0.3538.110,,2018-12-03 16:18:11,2018-12-03 16:18:38,27.003s,FAILED
openBrowser,Chrome 70.0.3538.110,,2018-12-03 16:18:12,2018-12-03 16:18:15,3.002s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-12-03 16:18:15,2018-12-03 16:18:16,1.153s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-03 16:18:16,2018-12-03 16:18:23,7.052s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 16:18:23,2018-12-03 16:18:23,0.361s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 16:18:23,2018-12-03 16:18:26,3.023s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-03 16:18:26,2018-12-03 16:18:38,12.049s,FAILED
,,,,,,
Test Cases/Final/logout,Chrome 70.0.3538.110,,2018-12-03 16:18:38,2018-12-03 16:18:51,12.246s,FAILED
openBrowser,Chrome 70.0.3538.110,,2018-12-03 16:18:39,2018-12-03 16:18:39,0.001s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-03 16:18:39,2018-12-03 16:18:39,0.004s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-03 16:18:39,2018-12-03 16:18:39,0.003s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 16:18:39,2018-12-03 16:18:39,0.002s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-03 16:18:39,2018-12-03 16:18:39,0.002s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 16:18:39,2018-12-03 16:18:39,0.003s,NOT_RUN
setText,Chrome 70.0.3538.110,,2018-12-03 16:18:39,2018-12-03 16:18:39,0.003s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 16:18:39,2018-12-03 16:18:39,0.001s,NOT_RUN
setText,Chrome 70.0.3538.110,,2018-12-03 16:18:39,2018-12-03 16:18:39,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 16:18:39,2018-12-03 16:18:39,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-03 16:18:39,2018-12-03 16:18:39,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 16:18:39,2018-12-03 16:18:39,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-03 16:18:39,2018-12-03 16:18:51,12.043s,FAILED
,,,,,,
Test Cases/Final/Login as student,Chrome 70.0.3538.110,,2018-12-03 16:18:51,2018-12-03 16:19:03,12.241s,FAILED
openBrowser,Chrome 70.0.3538.110,,2018-12-03 16:18:51,2018-12-03 16:18:51,0.001s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-03 16:18:51,2018-12-03 16:18:51,0.002s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-03 16:18:51,2018-12-03 16:18:51,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 16:18:51,2018-12-03 16:18:51,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-03 16:18:51,2018-12-03 16:19:03,12.038s,FAILED
,,,,,,
Test Cases/Final/nav_to_HS,Chrome 70.0.3538.110,,2018-12-03 16:19:03,2018-12-03 16:19:13,10.188s,FAILED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-03 16:19:03,2018-12-03 16:19:13,10.021s,FAILED
,,,,,,
Test Cases/Final/comparison between schools,Chrome 70.0.3538.110,,2018-12-03 16:19:13,2018-12-03 16:19:25,12.158s,FAILED
openBrowser,Chrome 70.0.3538.110,,2018-12-03 16:19:13,2018-12-03 16:19:13,0.001s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-03 16:19:13,2018-12-03 16:19:13,0.001s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-03 16:19:13,2018-12-03 16:19:13,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-03 16:19:13,2018-12-03 16:19:13,0.000s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-03 16:19:13,2018-12-03 16:19:25,12.026s,FAILED
