Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
advanced search1,Chrome 70.0.3538.110,,2018-12-08 13:27:23,2018-12-08 13:28:56,1m - 33.246s,ERROR
,,,,,,
Test Cases/Final/search_with_specialty,Chrome 70.0.3538.110,,2018-12-08 13:27:23,2018-12-08 13:27:59,35.629s,ERROR
openBrowser,Chrome 70.0.3538.110,,2018-12-08 13:27:23,2018-12-08 13:27:26,2.840s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-12-08 13:27:26,2018-12-08 13:27:27,1.145s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 13:27:27,2018-12-08 13:27:37,9.617s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 13:27:37,2018-12-08 13:27:38,1.088s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 13:27:38,2018-12-08 13:27:41,3.018s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 13:27:41,2018-12-08 13:27:42,1.447s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 13:27:42,2018-12-08 13:27:45,3.004s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 13:27:45,2018-12-08 13:27:46,0.073s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 13:27:46,2018-12-08 13:27:49,3.002s,PASSED
check,Chrome 70.0.3538.110,,2018-12-08 13:27:49,2018-12-08 13:27:49,0.097s,PASSED
verifyElementChecked,Chrome 70.0.3538.110,,2018-12-08 13:27:49,2018-12-08 13:27:49,0.052s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 13:27:49,2018-12-08 13:27:59,10.002s,PASSED
verifyTextPresent,Chrome 70.0.3538.110,,2018-12-08 13:27:59,2018-12-08 13:27:59,0.000s,PASSED
,,,,,,
Test Cases/Final/search with kind of school,Chrome 70.0.3538.110,,2018-12-08 13:27:59,2018-12-08 13:28:15,16.456s,ERROR
openBrowser,Chrome 70.0.3538.110,,2018-12-08 13:27:59,2018-12-08 13:27:59,0.002s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-08 13:27:59,2018-12-08 13:27:59,0.001s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 13:27:59,2018-12-08 13:27:59,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-08 13:27:59,2018-12-08 13:27:59,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-08 13:27:59,2018-12-08 13:27:59,0.000s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-08 13:27:59,2018-12-08 13:27:59,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-08 13:27:59,2018-12-08 13:28:02,3.002s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 13:28:02,2018-12-08 13:28:02,0.149s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 13:28:02,2018-12-08 13:28:05,3.002s,PASSED
check,Chrome 70.0.3538.110,,2018-12-08 13:28:05,2018-12-08 13:28:05,0.122s,PASSED
verifyElementChecked,Chrome 70.0.3538.110,,2018-12-08 13:28:05,2018-12-08 13:28:05,0.043s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 13:28:05,2018-12-08 13:28:15,10.002s,PASSED
verifyTextPresent,Chrome 70.0.3538.110,,2018-12-08 13:28:15,2018-12-08 13:28:15,0.001s,PASSED
,,,,,,
Test Cases/Final/search with country,Chrome 70.0.3538.110,,2018-12-08 13:28:15,2018-12-08 13:28:23,7.387s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-08 13:28:15,2018-12-08 13:28:15,0.001s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-08 13:28:15,2018-12-08 13:28:15,0.001s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 13:28:15,2018-12-08 13:28:15,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-08 13:28:15,2018-12-08 13:28:15,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-08 13:28:15,2018-12-08 13:28:15,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-08 13:28:15,2018-12-08 13:28:15,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-08 13:28:15,2018-12-08 13:28:18,3.001s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 13:28:18,2018-12-08 13:28:18,0.114s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 13:28:18,2018-12-08 13:28:21,3.002s,PASSED
check,Chrome 70.0.3538.110,,2018-12-08 13:28:21,2018-12-08 13:28:22,0.102s,PASSED
verifyElementChecked,Chrome 70.0.3538.110,,2018-12-08 13:28:22,2018-12-08 13:28:22,0.037s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 13:28:22,2018-12-08 13:28:23,1.001s,PASSED
,,,,,,
Test Cases/Final/search with city,Chrome 70.0.3538.110,,2018-12-08 13:28:23,2018-12-08 13:28:39,16.381s,ERROR
openBrowser,Chrome 70.0.3538.110,,2018-12-08 13:28:23,2018-12-08 13:28:23,0.000s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-08 13:28:23,2018-12-08 13:28:23,0.001s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 13:28:23,2018-12-08 13:28:23,0.000s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-08 13:28:23,2018-12-08 13:28:23,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-08 13:28:23,2018-12-08 13:28:23,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-08 13:28:23,2018-12-08 13:28:23,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-08 13:28:23,2018-12-08 13:28:23,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-08 13:28:23,2018-12-08 13:28:23,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-08 13:28:23,2018-12-08 13:28:23,0.001s,NOT_RUN
check,Chrome 70.0.3538.110,,2018-12-08 13:28:23,2018-12-08 13:28:23,0.001s,NOT_RUN
verifyElementChecked,Chrome 70.0.3538.110,,2018-12-08 13:28:23,2018-12-08 13:28:23,0.001s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-08 13:28:23,2018-12-08 13:28:26,3.001s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 13:28:26,2018-12-08 13:28:26,0.118s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 13:28:26,2018-12-08 13:28:29,3.002s,PASSED
check,Chrome 70.0.3538.110,,2018-12-08 13:28:29,2018-12-08 13:28:29,0.098s,PASSED
verifyElementChecked,Chrome 70.0.3538.110,,2018-12-08 13:28:29,2018-12-08 13:28:29,0.041s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 13:28:29,2018-12-08 13:28:39,10.002s,PASSED
verifyTextPresent,Chrome 70.0.3538.110,,2018-12-08 13:28:39,2018-12-08 13:28:39,0.000s,PASSED
,,,,,,
Test Cases/Final/search with gender,Chrome 70.0.3538.110,,2018-12-08 13:28:39,2018-12-08 13:28:55,16.299s,ERROR
openBrowser,Chrome 70.0.3538.110,,2018-12-08 13:28:39,2018-12-08 13:28:39,0.001s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.110,,2018-12-08 13:28:39,2018-12-08 13:28:39,0.000s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 13:28:39,2018-12-08 13:28:39,0.001s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-08 13:28:39,2018-12-08 13:28:39,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-08 13:28:39,2018-12-08 13:28:39,0.000s,NOT_RUN
click,Chrome 70.0.3538.110,,2018-12-08 13:28:39,2018-12-08 13:28:39,0.000s,NOT_RUN
delay,Chrome 70.0.3538.110,,2018-12-08 13:28:39,2018-12-08 13:28:42,3.000s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 13:28:42,2018-12-08 13:28:42,0.083s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 13:28:42,2018-12-08 13:28:45,3.005s,PASSED
check,Chrome 70.0.3538.110,,2018-12-08 13:28:45,2018-12-08 13:28:45,0.091s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 13:28:45,2018-12-08 13:28:55,10.002s,PASSED
verifyTextPresent,Chrome 70.0.3538.110,,2018-12-08 13:28:55,2018-12-08 13:28:55,0.000s,PASSED
