Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
advanced search,Chrome 70.0.3538.110,,2018-12-08 12:21:31,2018-12-08 12:23:58,2m - 27.364s,ERROR
,,,,,,
Test Cases/Final/search_with_specialty,Chrome 70.0.3538.110,,2018-12-08 12:21:31,2018-12-08 12:22:11,39.046s,ERROR
openBrowser,Chrome 70.0.3538.110,,2018-12-08 12:21:32,2018-12-08 12:21:37,5.193s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-12-08 12:21:37,2018-12-08 12:21:38,1.148s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 12:21:38,2018-12-08 12:21:48,9.548s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 12:21:48,2018-12-08 12:21:49,1.122s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 12:21:49,2018-12-08 12:21:52,3.024s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 12:21:52,2018-12-08 12:21:54,2.373s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 12:21:54,2018-12-08 12:21:57,3.002s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 12:21:57,2018-12-08 12:21:57,0.109s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 12:21:57,2018-12-08 12:22:00,3.003s,PASSED
check,Chrome 70.0.3538.110,,2018-12-08 12:22:00,2018-12-08 12:22:00,0.170s,PASSED
verifyElementChecked,Chrome 70.0.3538.110,,2018-12-08 12:22:00,2018-12-08 12:22:00,0.048s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 12:22:00,2018-12-08 12:22:10,10.002s,PASSED
verifyTextPresent,Chrome 70.0.3538.110,,2018-12-08 12:22:10,2018-12-08 12:22:10,0.000s,PASSED
,,,,,,
Test Cases/Final/back to advanced search,Chrome 70.0.3538.110,,2018-12-08 12:22:11,2018-12-08 12:22:20,9.825s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 12:22:11,2018-12-08 12:22:14,3.444s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 12:22:14,2018-12-08 12:22:19,5.002s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 12:22:19,2018-12-08 12:22:20,1.275s,PASSED
,,,,,,
Test Cases/Final/search with kind of school,Chrome 70.0.3538.110,,2018-12-08 12:22:20,2018-12-08 12:22:37,16.526s,ERROR
openBrowser,Chrome 70.0.3538.110,,2018-12-08 12:22:20,2018-12-08 12:22:20,0.002s,NOT_RUN
