Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
add review,Chrome 70.0.3538.102,,2018-11-27 20:59:59,2018-11-27 21:02:30,2m - 30.744s,FAILED
,,,,,,
Test Cases/InProgress/Login,Chrome 70.0.3538.102,,2018-11-27 21:00:00,2018-11-27 21:01:55,1m - 55.084s,FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-27 21:00:01,2018-11-27 21:00:24,22.928s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-27 21:00:24,2018-11-27 21:00:25,1.271s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-27 21:00:25,2018-11-27 21:01:17,51.710s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 21:01:17,2018-11-27 21:01:22,5.050s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 21:01:22,2018-11-27 21:01:55,33.496s,FAILED
,,,,,,
Test Cases/InProgress/add review,Chrome 70.0.3538.102,,2018-11-27 21:01:55,2018-11-27 21:02:29,33.252s,FAILED
click,Chrome 70.0.3538.102,,2018-11-27 21:01:56,2018-11-27 21:02:29,33.006s,FAILED
