Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
school can add event,Chrome 70.0.3538.110,,2018-12-08 13:31:34,2018-12-08 13:33:29,1m - 54.988s,FAILED
,,,,,,
Test Cases/Final/reg as school,Chrome 70.0.3538.110,,2018-12-08 13:31:34,2018-12-08 13:31:52,18.400s,FAILED
openBrowser,Chrome 70.0.3538.110,,2018-12-08 13:31:34,2018-12-08 13:31:37,2.864s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-12-08 13:31:37,2018-12-08 13:31:38,1.143s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 13:31:38,2018-12-08 13:31:42,4.278s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 13:31:42,2018-12-08 13:31:42,0.002s,NOT_RUN
setText,Chrome 70.0.3538.110,,2018-12-08 13:31:42,2018-12-08 13:31:43,0.496s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 13:31:43,2018-12-08 13:31:43,0.419s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 13:31:43,2018-12-08 13:31:44,0.760s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 13:31:44,2018-12-08 13:31:44,0.291s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 13:31:44,2018-12-08 13:31:45,0.258s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 13:31:45,2018-12-08 13:31:45,0.332s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-08 13:31:45,2018-12-08 13:31:45,0.172s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 13:31:45,2018-12-08 13:31:48,3.018s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-08 13:31:48,2018-12-08 13:31:48,0.140s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-08 13:31:48,2018-12-08 13:31:51,3.002s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-08 13:31:51,2018-12-08 13:31:51,0.125s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-08 13:31:51,2018-12-08 13:31:52,0.131s,PASSED
